printer_id,cartridges
400000026365,"400000026366,400000030493"
400000026231,"400000024268,400000030427"
400000032464,"400000031828,400000031827,400000031829,400000031826"
400000026795,"400000026793,400000030531"
400000027215,"400000027203,400000027202,400000030159,400000029970"
400000026949,"400000026929,400000030538"
400000033268,
400000027801,"400000020487,400000018143,400000018145,400000032753,400000032754,400000030570,400000032755,400000019312,400000032752"
400000030989,400000005764
400000028546,"400000030513,400000012388,400000013499,400000013234"
400000030979,"400000030669,400000030667,400000024363,400000024364,400000031472,400000031473,400000033320,400000030668,400000033321,400000024348,400000030665,400000033319,400000033322,400000030666"
400000026337,"400000030492,400000026336"
400000028944,"400000030502,400000030504,400000030500,400000030503,400000030501,400000020352"
400000033330,
400000033540,
400000027245,"400000020452,400000022692,400000022693,400000030588,400000022694"
400000032451,
400000028954,"400000028961,400000030198"
400000026512,"400000024112,400000030218"
400000033277,
400000032396,"400000032292,400000032294,400000032293,400000031351,400000032291,400000031353,400000031354,400000031352"
400000032386,
400000027123,"400000030273,400000026498,400000027258,400000030392"
400000026681,"400000021697,400000030438,400000023563,400000026133,400000015225"
400000029729,400000029744
400000026942,"400000030539,400000026931"
400000027874,"400000020607,400000030583,400000020608,400000020606,400000020605"
400000027272,"400000017384,400000018695,400000030307"
400000032365,
400000027307,"400000030401,400000026649,400000030402"
400000033441,
400000013451,"400000021985,400000013493"
400000026961,"400000030466,400000030467,200000001668,400000026959"
400000033789,
400000033756,400000033642
400000026902,"400000029750,400000026901,400000029749"
400000026201,"400000030413,400000018135"
400000027762,"400000027164,400000027163,400000030572,400000027162,400000027165"
400000028924,"400000029972,400000030498,400000030499,400000028905"
400000028966,"400000028961,400000030198"
400000026448,"400000026217,400000030393"
400000033652,
400000033435,
400000033460,
400000028828,"400000030273,400000026498,400000027258,400000030392"
400000028777,400000030580
400000027804,"400000020487,400000018143,400000018145,400000030580,400000019312"
400000026453,"400000026217,400000030393"
400000029000,"400000027203,400000027202,400000029970"
400000026500,"400000030513,400000013499"
400000033659,
400000029722,400000029728
400000032636,"400000031938,400000032575,400000031939,400000031936,400000031937,400000032555"
400000026905,"400000030456,400000020350,400000030457"
400000033536,
400000027208,"400000030195,400000027203,400000027204,400000027202,400000030159,400000029970"
400000026203,"400000030413,400000018135"
400000028104,"400000024237,400000030303"
400000026374,"400000026373,400000030495"
400000032378,"400000033786,400000033784,400000033785,400000033787"
400000029506,400000030462
400000032431,"400000031548,400000031549,400000030295,400000031550"
400000028827,"400000030273,400000026498,400000027258,400000030392"
400000029726,400000029728
400000031019,
400000026921,"400000026923,400000030480"
400000033397,
